,video_id,comments
0,kgDNWX4Q8m8,"['Bisik', 'kece amat lagunya.', 'Ok😊🎉', '*spoiler alert*\nagak sakit hati tengok didi dalam filem ni\ntapi bila sampai lagu di akhir filem, baru sampai mesej kenapa didi bawa watak annoying tu', 'Saya merasakan satu semangat untuk mengejar impian saya ❤🤲🏽', 'terima  kasih atas yang dah Tengok ye i love you', 'Ada lah dalam astro ceria cuba lah tenuk ada ke tak ada?', 'Add a comment...', 'Wow ini lagu fav saya sebab saya tak ada kawan😥', 'Wow, rindunya tonton kartun lama macam didi and friends ni waktu zaman kecik2 dulu 😭😅']"
1,RpdeR_18EdU,"['Didi and friends the movie', 'Lagu dia semua Best best😆👍\nSaya dah tengok dah Movie ni👍', 'Kenapalah tak nak kekalkan lagu2 Kanak.. Budak 2-3 tahun memang blurr dengar 😂', 'Kenapa lagu raja gora', 'Saya Dah Tengok Didi & Friend the Movie 🥰', 'Esok saya pergi ke wayang', 'Esok saya pergi', 'memang best kan😊😊', 'Saya nak Tengok Didi &Friend dekat Klcc', 'Yjg']"
2,GwEA54UFE9I,['Kolkoo']
3,qXM9IDwnXiY,"['Wau tkde komen', 'Wau tkde komen']"
4,y8nJ7Fjc55E,"['E', 'Esse', 'Maha dkt mna tu', 'Wow should 1233', 'Didi Suka Pacaran sama nana dan jojo suka sama happy bear❤💓', 'kt mana?', 'Sampai berapa haribulan ni', 'Di MAHA 2022 bukan 2020', 'M']"
5,K-6flAvPEqw,"['Itu best dan cantik ni seronok la', 'Seronoknya', 'Nanti nak pergi ajak anak2 lah', 'best adik saya suka', '👍👍', '👍🏼👍👍👍👍👍🥇🥇', 'Saya negeri 9 awak APA pelakun kalau nak buat youtube kena bukak mas', 'Macam mana nak bapat ha', 'Nama saya.  Najwa', 'Saya orang  indonesya']"
6,37H-Xr45bGg,"['kucing saye kencing kat dlm bakul baju kotor 😔😔', 'Tu cuma bocor kat atas tu je ahahaha Dan Selamat berpuasa', 'kapan upin ipin deasa', 'Buat lah Upin Ipin puasa😊', 'Jxnx😊', '😊🎉😂❤❤😊uuoggk', 'Vefuk', 'Hahaha', 'lpin', 'selamat berpuasa']"
7,0yFnw2uVdNk,"['lm😁😂', 'Azam saya , berpuasa dan solat on time n cukup waktu selagi boleh .. puasa nnti saya dh dalam hari nk bersalin .. harap dpt bby raya ..', 'Ppp', 'P', 'Azam saya ingin berpuasa dengan ortu', 'Nak puasa penuh', 'Azam puasa tahun ini mau puasa full', 'Azam saye tahun ni nak puase penoh', '❤😂😢kl', '😂fkfiii😂']"
8,uU52zEjbPpw,"['muka    kamu.  lucu.  scalii.  u. kubisa', 'bikin evisode baru plissss ramadhan kali ni', 'Saya bilang nya les kopak que', 'Selama ni sy sebut les kopak 😂', 'siapa buat suara  Lim cepatlahh', 'Pliss munculin karakter lim', 'ape itu aka aku tak tau itu ape ke', 'Bagusan film Adit sopo Jarwo from🇮🇩the best sangat', '👍']"
9,PT2gtdHiVq4,"['SAYA SUKA TENGOK VIDEO IN ANAK SAYA PUN SUKA!', 'iz nama aku:)', 'kan buat lh upin Ipin Ramadhan kan dh nak puasa', 'Abang iz terkejut melihat Datok lat untuk membantu Upin Ipin yang tadi buku the kampung boy.  Upin Ipin episode baru legenda kampung boy', '❤', 'Atolanamaya❤🎉', 'upin   ipin    ini     sangat     fames', 'sila mampir kawan kawan 🎉', 'Tiap2 minggu tggu citerr baru upin ipin .. besttt sgt ❤❤❤', 'Hai perkenalkan saya dari Indonesia🇮🇩 salam dari Indonesia🇮🇩😊❤']"
